mol_index,smiles,assembly_index,current_pg,current_order,trusted_pg,trusted_order,tolerance,exact_label_match,order_match,order_abs_delta,current_pg_coarse,trusted_pg_coarse,coarse_label_match,coarse_order_match
27499,[H]C([H])([H])c1nc(C([H])([H])[H])nc(C([H])([H])[H])n1,4.0,Cs,2,C3h,6,0.5,False,False,4,LOW_SYM,C3h,False,False
131,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],2.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
36504,[H]C1([H])OC([H])([H])[C@]23O[C@]12C([H])([H])OC3([H])[H],5.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
55340,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C(=O)C([H])([H])[H],4.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
121591,[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H],4.0,C1,1,C2v,4,0.5,False,False,3,LOW_SYM,C2v,False,False
3863,O=c1nnonn1,4.0,C2v,4,Cs,2,0.5,False,False,2,C2v,LOW_SYM,False,False
4293,[H]c1nc([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],5.0,C2,2,C2v,4,0.5,False,False,2,C2,C2v,False,False
28237,[H]c1c([H])c(N([H])[H])c([H])c([H])c1C#N,6.0,C2v,4,Cs,2,0.5,False,False,2,C2v,LOW_SYM,False,False
130502,[H]c1c(F)c([H])c(N([H])[H])c([H])c1N([H])[H],5.0,C2v,4,C2,2,0.5,False,False,2,C2v,C2,False,False
25956,[H]c1nc([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])n1,7.0,Cs,2,C2v,4,0.5,False,False,2,LOW_SYM,C2v,False,False
450,[H]N1C(=O)N([H])C([H])([H])C1([H])[H],4.0,C2v,4,C2,2,0.5,False,False,2,C2v,C2,False,False
28490,[H]c1c([H])c(C([H])([H])[H])c(N([H])[H])c(C([H])([H])[H])c1[H],5.0,C2v,4,Cs,2,0.5,False,False,2,C2v,LOW_SYM,False,False
42743,[H]C1([H])C(=O)[C@]2([H])C([H])([H])[C@]([H])(C1=O)C2([H])[H],4.0,C2v,4,Cs,2,0.5,False,False,2,C2v,LOW_SYM,False,False
5662,[H]c1c2c(c([H])n1[H])OC([H])([H])O2,5.0,C2v,4,Cs,2,0.5,False,False,2,C2v,LOW_SYM,False,False
23446,[H]c1nc(N([H])[H])nc([H])c1F,6.0,Cs,2,C2v,4,0.5,False,False,2,LOW_SYM,C2v,False,False
128502,[H]N([H])c1nonc(N([H])[H])c1=O,5.0,Cs,2,C2v,4,0.5,False,False,2,LOW_SYM,C2v,False,False
100914,[H]OC([H])([H])C(C#N)(C#N)C([H])([H])O[H],4.0,C2,2,C2v,4,0.5,False,False,2,C2,C2v,False,False
45094,[H]C1=C([H])N([H])C(=O)N([H])C(=O)N1[H],5.0,C2v,4,Cs,2,0.5,False,False,2,C2v,LOW_SYM,False,False
130919,[H]c1c([H])c(N([H])[H])c(F)c(N([H])[H])c1[H],5.0,C2v,4,Cs,2,0.5,False,False,2,C2v,LOW_SYM,False,False
36244,[H]C#CC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C#C[H],4.0,C2,2,C2v,4,0.5,False,False,2,C2,C2v,False,False
14534,[H]OC([H])([H])C#CC#CC([H])([H])O[H],4.0,C2,2,C2h,4,0.5,False,False,2,C2,C2h,False,False
6951,[H]C([H])(C#N)C(=O)C([H])([H])C#N,4.0,C2,2,C2v,4,0.5,False,False,2,C2,C2v,False,False
36436,[H]C1([H])OC([H])([H])[C@]12C([H])([H])[C@@]21C([H])([H])OC1([H])[H],5.0,C2v,4,Cs,2,0.5,False,False,2,C2v,LOW_SYM,False,False
14454,[H]C(=O)C#CC#CC([H])=O,4.0,C2h,4,D2,2,0.5,False,False,2,C2h,D2,False,False
25961,[H]c1nc([H])nc(N(C([H])([H])[H])C([H])([H])[H])n1,6.0,Cs,2,C2v,4,0.5,False,False,2,LOW_SYM,C2v,False,False
546,[H]C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])[H],3.0,C2,2,C2h,4,0.5,False,False,2,C2,C2h,False,False
126290,[H]/N=C(\c1onnc1[H])N([H])C([H])([H])[H],8.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
129355,[H]Oc1c(C([H])=O)nn([H])c1O[H],8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
26104,[H]C(=O)N(c1c([H])nc([H])n1[H])C([H])([H])[H],7.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
60151,[H]C(=O)N(/C([H])=N/C([H])([H])C#N)C([H])([H])[H],7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
6631,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#CC#N,5.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
14631,[H]C#CC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H],5.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
24730,[H][N-]C1OC([H])=C(C2([H])C([H])([H])C2([H])[H])O1,7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
21710,[H]OC([H])([H])C([H])([H])n1nnnn1,6.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
107791,[H]OC([H])([H])C1=NC([H])([H])C([H])([H])N1C([H])=O,7.0,C1,1,Cs,2,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
25499,[H]c1c(C(=O)[O-])[n+]([H])c(N([H])[H])n1[H],8.0,Cs,2,C1,1,0.5,False,False,1,LOW_SYM,LOW_SYM,True,True
